IP,DBM,RSSI
192.168.1.121,-61,33
192.168.1.121,-61,33
192.168.1.121,-61,33
192.168.1.121,-61,33
192.168.1.121,-61,33
192.168.1.121,-61,33
192.168.1.121,-61,33
192.168.1.121,-61,33
192.168.1.121,-61,33
192.168.1.121,-61,33
192.168.1.121,-61,33
192.168.1.121,-61,33
192.168.1.121,-61,33
192.168.1.121,-61,33
192.168.1.121,-61,33
192.168.1.121,-61,33
192.168.1.121,-61,33
192.168.1.121,-61,33
192.168.1.121,-61,33
192.168.1.121,-61,33
192.168.1.121,-61,33
192.168.1.121,-61,33
192.168.1.121,-61,33
192.168.1.121,-61,33
192.168.1.121,-61,33
192.168.1.121,-61,33
192.168.1.121,-61,33
192.168.1.121,-61,33
192.168.1.121,-61,33
192.168.1.121,-61,33
192.168.1.121,-61,33
192.168.1.121,-61,33
192.168.1.121,-61,33
192.168.1.121,-61,33
192.168.1.121,-61,33
192.168.1.121,-61,33
192.168.1.121,-61,33
192.168.1.121,-61,33
192.168.1.121,-61,33
192.168.1.121,-55,39
192.168.1.121,-55,39
192.168.1.121,-55,39
192.168.1.121,-55,39
192.168.1.121,-55,39
192.168.1.121,-55,39
192.168.1.121,-55,39
192.168.1.121,-55,39
192.168.1.121,-55,39
192.168.1.121,-55,39
192.168.1.121,-55,39
192.168.1.121,-55,39
192.168.1.121,-55,39
192.168.1.121,-55,39
192.168.1.121,-55,39
192.168.1.121,-55,39
192.168.1.121,-55,39
192.168.1.121,-55,39
192.168.1.121,-55,39
192.168.1.121,-55,39
192.168.1.121,-55,39
192.168.1.121,-55,39
192.168.1.121,-55,39
192.168.1.121,-55,39
192.168.1.121,-55,39
192.168.1.121,-55,39
192.168.1.121,-55,39
192.168.1.121,-55,39
192.168.1.121,-55,39
192.168.1.121,-55,39
192.168.1.121,-55,39
192.168.1.121,-55,39
192.168.1.121,-55,39
192.168.1.121,-55,39
192.168.1.121,-55,39
192.168.1.121,-55,39
192.168.1.121,-55,39
192.168.1.121,-55,39
192.168.1.121,-55,39
192.168.1.121,-55,39
192.168.1.121,-55,39
192.168.1.121,-55,39
192.168.1.121,-55,39
192.168.1.121,-55,39
192.168.1.121,-55,39
192.168.1.121,-55,39
192.168.1.121,-55,39
192.168.1.121,-55,39
192.168.1.121,-55,39
192.168.1.121,-55,39
192.168.1.121,-55,39
192.168.1.121,-55,39
192.168.1.121,-55,39
192.168.1.121,-55,39
192.168.1.121,-55,39
192.168.1.121,-55,39
192.168.1.121,-55,39
192.168.1.121,-55,39
192.168.1.121,-55,39
192.168.1.121,-55,39
192.168.1.121,-55,39
