IP,DBM,RSSI
192.168.1.122,-46,48
192.168.1.121,-78,16
192.168.1.122,-46,48
192.168.1.121,-78,16
192.168.1.122,-46,48
192.168.1.121,-78,16
192.168.1.122,-46,48
192.168.1.121,-78,16
192.168.1.122,-46,48
192.168.1.121,-78,16
192.168.1.122,-46,48
192.168.1.121,-78,16
192.168.1.122,-46,48
192.168.1.121,-78,16
192.168.1.122,-46,48
192.168.1.121,-78,16
192.168.1.122,-46,48
192.168.1.121,-78,16
192.168.1.122,-46,48
192.168.1.121,-78,16
192.168.1.122,-46,48
192.168.1.121,-78,16
192.168.1.122,-46,48
192.168.1.121,-78,16
192.168.1.122,-46,48
192.168.1.121,-78,16
192.168.1.122,-46,48
192.168.1.121,-78,16
192.168.1.122,-46,48
192.168.1.121,-78,16
192.168.1.122,-52,42
192.168.1.121,-80,14
192.168.1.122,-52,42
192.168.1.121,-80,14
192.168.1.122,-52,42
192.168.1.121,-80,14
192.168.1.122,-52,42
192.168.1.121,-80,14
192.168.1.122,-52,42
192.168.1.121,-80,14
192.168.1.122,-52,42
192.168.1.121,-80,14
192.168.1.122,-52,42
192.168.1.121,-80,14
192.168.1.122,-52,42
192.168.1.121,-80,14
192.168.1.122,-52,42
192.168.1.121,-80,14
192.168.1.122,-45,49
192.168.1.121,-80,14
192.168.1.122,-45,49
192.168.1.121,-80,14
192.168.1.122,-45,49
192.168.1.121,-80,14
192.168.1.122,-45,49
192.168.1.121,-80,14
192.168.1.122,-45,49
192.168.1.121,-80,14
192.168.1.122,-45,49
192.168.1.121,-80,14
192.168.1.122,-45,49
192.168.1.121,-80,14
192.168.1.122,-45,49
192.168.1.121,-80,14
192.168.1.122,-45,49
192.168.1.121,-80,14
192.168.1.122,-45,49
192.168.1.121,-80,14
192.168.1.122,-45,49
192.168.1.121,-80,14
192.168.1.122,-45,49
192.168.1.121,-80,14
192.168.1.122,-45,49
192.168.1.121,-80,14
192.168.1.122,-45,49
192.168.1.121,-80,14
192.168.1.122,-45,49
192.168.1.121,-80,14
192.168.1.122,-45,49
192.168.1.121,-80,14
192.168.1.122,-45,49
192.168.1.121,-80,14
192.168.1.122,-45,49
192.168.1.121,-80,14
192.168.1.122,-45,49
192.168.1.121,-80,14
192.168.1.122,-45,49
192.168.1.121,-80,14
192.168.1.122,-45,49
192.168.1.121,-80,14
192.168.1.122,-45,49
192.168.1.121,-80,14
192.168.1.122,-45,49
192.168.1.121,-80,14
192.168.1.122,-45,49
192.168.1.121,-80,14
192.168.1.122,-45,49
192.168.1.121,-80,14
192.168.1.122,-45,49
192.168.1.121,-80,14
192.168.1.122,-45,49
192.168.1.121,-80,14
192.168.1.122,-45,49
192.168.1.121,-80,14
192.168.1.122,-45,49
192.168.1.121,-80,14
192.168.1.122,-45,49
192.168.1.121,-80,14
192.168.1.122,-45,49
192.168.1.121,-80,14
192.168.1.122,-45,49
192.168.1.121,-80,14
192.168.1.122,-45,49
192.168.1.121,-80,14
192.168.1.122,-45,49
192.168.1.121,-80,14
192.168.1.122,-41,53
192.168.1.121,-80,14
192.168.1.122,-41,53
192.168.1.121,-80,14
192.168.1.122,-41,53
192.168.1.121,-80,14
192.168.1.122,-41,53
192.168.1.121,-80,14
192.168.1.122,-41,53
192.168.1.121,-80,14
192.168.1.122,-41,53
192.168.1.121,-80,14
192.168.1.122,-41,53
192.168.1.121,-80,14
192.168.1.122,-41,53
192.168.1.121,-80,14
192.168.1.122,-41,53
192.168.1.121,-80,14
192.168.1.122,-41,53
192.168.1.121,-80,14
192.168.1.122,-41,53
192.168.1.121,-80,14
192.168.1.122,-41,53
192.168.1.121,-80,14
192.168.1.122,-41,53
192.168.1.121,-80,14
192.168.1.122,-41,53
192.168.1.121,-80,14
192.168.1.122,-41,53
192.168.1.121,-80,14
192.168.1.122,-41,53
192.168.1.121,-80,14
192.168.1.122,-41,53
192.168.1.121,-80,14
192.168.1.122,-41,53
192.168.1.121,-80,14
192.168.1.122,-39,55
192.168.1.121,-82,12
192.168.1.122,-39,55
192.168.1.121,-82,12
192.168.1.122,-39,55
192.168.1.121,-82,12
192.168.1.122,-39,55
192.168.1.121,-82,12
192.168.1.122,-39,55
192.168.1.121,-82,12
192.168.1.122,-39,55
192.168.1.121,-82,12
192.168.1.122,-39,55
192.168.1.121,-82,12
192.168.1.122,-39,55
192.168.1.121,-82,12
192.168.1.122,-39,55
192.168.1.121,-82,12
192.168.1.122,-39,55
192.168.1.121,-82,12
192.168.1.122,-39,55
192.168.1.121,-82,12
192.168.1.122,-39,55
192.168.1.121,-82,12
192.168.1.122,-39,55
192.168.1.121,-82,12
192.168.1.122,-39,55
192.168.1.121,-82,12
192.168.1.122,-39,55
192.168.1.121,-82,12
192.168.1.122,-39,55
192.168.1.121,-82,12
192.168.1.122,-39,55
192.168.1.121,-82,12
192.168.1.122,-39,55
192.168.1.121,-82,12
192.168.1.122,-40,54
192.168.1.121,-82,12
192.168.1.122,-40,54
192.168.1.121,-82,12
192.168.1.122,-40,54
192.168.1.121,-82,12
