IP,DBM,RSSI
192.168.1.121,-85,8
192.168.1.122,-71,22
192.168.1.121,-86,7
192.168.1.122,-47,46
192.168.1.121,-86,7
192.168.1.122,-47,46
192.168.1.121,-86,7
192.168.1.122,-47,46
192.168.1.121,-86,7
192.168.1.122,-47,46
192.168.1.121,-86,7
192.168.1.122,-47,46
192.168.1.121,-86,7
192.168.1.122,-47,46
192.168.1.121,-86,7
192.168.1.122,-47,46
192.168.1.121,-86,7
192.168.1.122,-47,46
192.168.1.121,-86,7
192.168.1.122,-47,46
192.168.1.121,-86,7
192.168.1.122,-47,46
192.168.1.121,-86,7
192.168.1.122,-47,46
192.168.1.121,-86,7
192.168.1.122,-47,46
192.168.1.121,-84,10
192.168.1.122,-54,40
192.168.1.121,-84,10
192.168.1.122,-54,40
192.168.1.121,-84,10
192.168.1.122,-54,40
192.168.1.121,-84,10
192.168.1.122,-54,40
192.168.1.121,-84,10
192.168.1.122,-54,40
192.168.1.121,-85,9
192.168.1.122,-48,46
192.168.1.121,-85,9
192.168.1.122,-48,46
192.168.1.121,-85,9
192.168.1.122,-48,46
192.168.1.121,-84,10
192.168.1.122,-59,35
192.168.1.121,-84,10
192.168.1.122,-59,35
192.168.1.121,-84,10
192.168.1.122,-59,35
192.168.1.121,-84,10
192.168.1.122,-59,35
192.168.1.121,-84,10
192.168.1.122,-59,35
192.168.1.121,-84,10
192.168.1.122,-59,35
192.168.1.121,-84,10
192.168.1.122,-59,35
192.168.1.121,-84,10
192.168.1.122,-59,35
192.168.1.121,-84,10
192.168.1.122,-59,35
192.168.1.121,-84,10
192.168.1.122,-59,35
192.168.1.121,-84,10
192.168.1.122,-59,35
192.168.1.121,-84,10
192.168.1.122,-59,35
192.168.1.121,-84,10
192.168.1.122,-59,35
192.168.1.121,-84,10
192.168.1.122,-59,35
192.168.1.121,-85,9
192.168.1.122,-54,40
192.168.1.121,-85,9
192.168.1.122,-54,40
192.168.1.121,-85,9
192.168.1.122,-54,40
192.168.1.121,-85,9
192.168.1.122,-54,40
192.168.1.121,-85,9
192.168.1.122,-54,40
192.168.1.121,-85,9
192.168.1.122,-54,40
192.168.1.121,-85,9
192.168.1.122,-54,40
192.168.1.121,-85,9
192.168.1.122,-54,40
192.168.1.121,-85,9
192.168.1.122,-54,40
192.168.1.121,-85,9
192.168.1.122,-54,40
192.168.1.121,-85,9
192.168.1.122,-54,40
192.168.1.121,-85,9
192.168.1.122,-54,40
192.168.1.121,-85,9
192.168.1.122,-54,40
192.168.1.121,-85,9
192.168.1.122,-54,40
192.168.1.121,-85,9
192.168.1.122,-54,40
192.168.1.121,-85,9
192.168.1.122,-54,40
192.168.1.121,-85,9
192.168.1.122,-54,40
192.168.1.121,-85,9
192.168.1.122,-54,40
192.168.1.121,-85,9
192.168.1.122,-54,40
192.168.1.121,-85,9
192.168.1.122,-54,40
192.168.1.121,-85,9
192.168.1.122,-54,40
192.168.1.121,-85,9
192.168.1.122,-54,40
192.168.1.121,-85,9
192.168.1.122,-54,40
192.168.1.121,-85,9
192.168.1.122,-54,40
192.168.1.121,-85,9
192.168.1.122,-54,40
192.168.1.121,-85,9
192.168.1.122,-54,40
192.168.1.121,-85,9
192.168.1.122,-54,40
192.168.1.121,-85,9
192.168.1.122,-54,40
192.168.1.121,-85,9
192.168.1.122,-54,40
192.168.1.121,-85,9
192.168.1.122,-54,40
192.168.1.121,-85,9
192.168.1.122,-54,40
192.168.1.121,-85,9
192.168.1.122,-54,40
192.168.1.121,-85,9
192.168.1.122,-54,40
192.168.1.121,-85,9
192.168.1.122,-54,40
192.168.1.121,-85,9
192.168.1.122,-54,40
192.168.1.121,-85,9
192.168.1.122,-54,40
192.168.1.121,-85,9
192.168.1.122,-54,40
192.168.1.121,-85,9
192.168.1.122,-54,40
192.168.1.121,-85,9
192.168.1.122,-47,47
192.168.1.121,-85,9
192.168.1.122,-47,47
192.168.1.121,-85,9
192.168.1.122,-47,47
192.168.1.121,-85,9
192.168.1.122,-47,47
192.168.1.121,-85,9
192.168.1.122,-47,47
192.168.1.121,-85,9
192.168.1.122,-47,47
192.168.1.121,-85,9
192.168.1.122,-47,47
192.168.1.121,-85,9
192.168.1.122,-47,47
192.168.1.121,-85,9
192.168.1.122,-47,47
192.168.1.121,-85,9
192.168.1.122,-47,47
192.168.1.121,-85,9
192.168.1.122,-47,47
192.168.1.121,-85,9
192.168.1.122,-47,47
192.168.1.121,-85,9
192.168.1.122,-47,47
192.168.1.121,-85,9
192.168.1.122,-47,47
192.168.1.121,-85,9
192.168.1.122,-47,47
192.168.1.121,-85,9
192.168.1.122,-47,47
192.168.1.121,-85,9
192.168.1.122,-47,47
192.168.1.121,-85,9
192.168.1.122,-47,47
192.168.1.121,-85,9
192.168.1.122,-47,47
192.168.1.121,-86,9
192.168.1.122,-56,39
192.168.1.121,-86,9
192.168.1.122,-56,39
192.168.1.121,-86,9
192.168.1.122,-56,39
192.168.1.121,-86,9
192.168.1.122,-56,39
192.168.1.121,-86,9
192.168.1.122,-56,39
192.168.1.121,-86,9
192.168.1.122,-56,39
