IP,DBM,RSSI
192.168.1.121,-41,54
192.168.1.121,-41,54
192.168.1.121,-41,54
192.168.1.121,-41,54
192.168.1.121,-41,54
192.168.1.121,-41,54
192.168.1.121,-41,54
192.168.1.121,-41,54
192.168.1.121,-41,54
192.168.1.121,-41,54
192.168.1.121,-41,54
192.168.1.121,-41,54
192.168.1.121,-41,54
192.168.1.121,-41,54
192.168.1.121,-41,54
192.168.1.121,-41,54
192.168.1.121,-41,54
192.168.1.121,-41,54
192.168.1.121,-41,54
192.168.1.121,-41,54
192.168.1.121,-41,54
192.168.1.121,-41,54
192.168.1.121,-41,54
192.168.1.121,-41,54
192.168.1.121,-41,54
192.168.1.121,-41,54
192.168.1.121,-41,54
192.168.1.121,-41,54
192.168.1.121,-41,54
192.168.1.121,-41,54
192.168.1.121,-41,54
192.168.1.121,-41,54
192.168.1.121,-41,54
192.168.1.121,-41,54
192.168.1.121,-41,54
192.168.1.121,-41,54
192.168.1.121,-41,54
192.168.1.121,-41,54
192.168.1.121,-41,54
192.168.1.121,-41,54
192.168.1.121,-41,54
192.168.1.121,-41,54
192.168.1.121,-41,54
192.168.1.121,-41,54
192.168.1.121,-41,54
192.168.1.121,-41,54
192.168.1.121,-41,54
192.168.1.121,-41,54
192.168.1.121,-41,54
192.168.1.121,-41,54
192.168.1.121,-41,54
192.168.1.121,-41,54
192.168.1.121,-41,54
192.168.1.121,-41,54
192.168.1.121,-41,54
192.168.1.121,-41,54
192.168.1.121,-41,54
192.168.1.121,-41,54
192.168.1.121,-41,54
192.168.1.121,-41,54
192.168.1.121,-41,54
192.168.1.121,-41,54
192.168.1.121,-41,54
192.168.1.121,-41,54
192.168.1.121,-41,54
192.168.1.121,-41,54
192.168.1.121,-41,54
192.168.1.121,-41,54
192.168.1.121,-41,54
192.168.1.121,-41,54
192.168.1.121,-41,54
192.168.1.121,-41,54
192.168.1.121,-41,54
192.168.1.121,-41,54
192.168.1.121,-41,54
192.168.1.121,-41,54
192.168.1.121,-41,54
192.168.1.121,-41,54
192.168.1.121,-41,54
192.168.1.121,-41,54
192.168.1.121,-41,54
192.168.1.121,-41,54
192.168.1.121,-41,54
192.168.1.121,-41,54
192.168.1.121,-41,54
192.168.1.121,-41,54
192.168.1.121,-41,54
192.168.1.121,-41,54
192.168.1.121,-41,54
192.168.1.121,-41,54
192.168.1.121,-41,54
192.168.1.121,-41,54
192.168.1.121,-41,54
192.168.1.121,-41,54
192.168.1.121,-41,54
192.168.1.121,-41,54
192.168.1.121,-41,54
192.168.1.121,-41,54
192.168.1.121,-41,54
192.168.1.121,-41,54
