IP,DBM,RSSI
192.168.1.121,-25,70
192.168.1.121,-25,70
192.168.1.121,-25,70
192.168.1.121,-25,70
192.168.1.121,-25,70
192.168.1.121,-25,70
192.168.1.121,-25,70
192.168.1.121,-25,70
192.168.1.121,-25,70
192.168.1.121,-25,70
192.168.1.121,-25,70
192.168.1.121,-25,70
192.168.1.121,-25,70
192.168.1.121,-25,70
192.168.1.121,-25,70
192.168.1.121,-25,70
192.168.1.121,-25,70
192.168.1.121,-25,70
192.168.1.121,-25,70
192.168.1.121,-25,70
192.168.1.121,-25,70
192.168.1.121,-25,70
192.168.1.121,-25,70
192.168.1.121,-25,70
192.168.1.121,-25,70
192.168.1.121,-25,70
192.168.1.121,-25,70
192.168.1.121,-25,70
192.168.1.121,-25,70
192.168.1.121,-25,70
192.168.1.121,-25,70
192.168.1.121,-25,70
192.168.1.121,-25,70
192.168.1.121,-25,70
192.168.1.121,-25,70
192.168.1.121,-25,70
192.168.1.121,-25,70
192.168.1.121,-25,70
192.168.1.121,-25,70
192.168.1.121,-25,70
192.168.1.121,-25,70
192.168.1.121,-25,70
192.168.1.121,-25,70
192.168.1.121,-25,70
192.168.1.121,-25,70
192.168.1.121,-25,70
192.168.1.121,-25,70
192.168.1.121,-25,70
192.168.1.121,-25,70
192.168.1.121,-25,70
192.168.1.121,-25,70
192.168.1.121,-25,70
192.168.1.121,-25,70
192.168.1.121,-25,70
192.168.1.121,-25,70
192.168.1.121,-25,70
192.168.1.121,-25,70
192.168.1.121,-25,70
192.168.1.121,-25,70
192.168.1.121,-25,70
192.168.1.121,-25,70
192.168.1.121,-25,70
192.168.1.121,-25,70
192.168.1.121,-25,70
192.168.1.121,-31,64
192.168.1.121,-31,64
192.168.1.121,-31,64
192.168.1.121,-31,64
192.168.1.121,-31,64
192.168.1.121,-31,64
192.168.1.121,-31,64
192.168.1.121,-31,64
192.168.1.121,-31,64
192.168.1.121,-31,64
192.168.1.121,-31,64
192.168.1.121,-31,64
192.168.1.121,-31,64
192.168.1.121,-31,64
192.168.1.121,-31,64
192.168.1.121,-31,64
192.168.1.121,-31,64
192.168.1.121,-31,64
192.168.1.121,-31,64
192.168.1.121,-31,64
192.168.1.121,-31,64
192.168.1.121,-31,64
192.168.1.121,-31,64
192.168.1.121,-31,64
192.168.1.121,-31,64
192.168.1.121,-31,64
192.168.1.121,-31,64
192.168.1.121,-31,64
192.168.1.121,-31,64
192.168.1.121,-31,64
192.168.1.121,-31,64
192.168.1.121,-31,64
192.168.1.121,-31,64
192.168.1.121,-31,64
192.168.1.121,-31,64
192.168.1.121,-31,64
