IP,DBM,RSSI
192.168.1.121,-85,9
192.168.1.122,-79,15
192.168.1.121,-85,9
192.168.1.122,-79,15
192.168.1.121,-85,9
192.168.1.122,-79,15
192.168.1.121,-85,9
192.168.1.122,-79,15
192.168.1.121,-85,9
192.168.1.122,-79,15
192.168.1.121,-85,9
192.168.1.122,-79,15
192.168.1.121,-85,9
192.168.1.122,-79,15
192.168.1.121,-85,9
192.168.1.122,-79,15
192.168.1.121,-85,9
192.168.1.122,-79,15
192.168.1.121,-85,9
192.168.1.122,-79,15
192.168.1.121,-85,9
192.168.1.122,-79,15
192.168.1.121,-85,9
192.168.1.122,-79,15
192.168.1.121,-85,9
192.168.1.122,-79,15
192.168.1.121,-85,9
192.168.1.122,-79,15
192.168.1.121,-85,9
192.168.1.122,-79,15
192.168.1.121,-85,9
192.168.1.122,-79,15
192.168.1.121,-85,9
192.168.1.122,-79,15
192.168.1.121,-85,9
192.168.1.122,-79,15
192.168.1.121,-85,9
192.168.1.122,-79,15
192.168.1.121,-85,9
192.168.1.122,-79,15
192.168.1.121,-85,9
192.168.1.122,-79,15
192.168.1.121,-85,9
192.168.1.122,-79,15
192.168.1.121,-85,9
192.168.1.122,-79,15
192.168.1.121,-85,9
192.168.1.122,-79,15
192.168.1.121,-85,9
192.168.1.122,-79,15
192.168.1.121,-85,9
192.168.1.122,-79,15
192.168.1.121,-85,9
192.168.1.122,-79,15
192.168.1.121,-85,9
192.168.1.122,-67,27
192.168.1.121,-85,9
192.168.1.122,-67,27
192.168.1.121,-85,9
192.168.1.122,-67,27
192.168.1.121,-85,9
192.168.1.122,-67,27
192.168.1.121,-85,9
192.168.1.122,-67,27
192.168.1.121,-85,9
192.168.1.122,-67,27
192.168.1.121,-85,9
192.168.1.122,-67,27
192.168.1.121,-85,9
192.168.1.122,-67,27
192.168.1.121,-85,9
192.168.1.122,-67,27
192.168.1.121,-85,9
192.168.1.122,-67,27
192.168.1.121,-85,9
192.168.1.122,-67,27
192.168.1.121,-85,9
192.168.1.122,-67,27
192.168.1.121,-85,9
192.168.1.122,-67,27
192.168.1.121,-85,9
192.168.1.122,-67,27
192.168.1.121,-85,9
192.168.1.122,-67,27
192.168.1.121,-85,9
192.168.1.122,-67,27
192.168.1.121,-85,9
192.168.1.122,-67,27
192.168.1.121,-85,9
192.168.1.122,-67,27
192.168.1.121,-85,9
192.168.1.122,-67,27
192.168.1.121,-85,9
192.168.1.122,-67,27
192.168.1.121,-85,9
192.168.1.122,-67,27
192.168.1.121,-85,9
192.168.1.122,-70,24
192.168.1.121,-85,9
192.168.1.122,-70,24
192.168.1.121,-85,9
192.168.1.122,-70,24
192.168.1.121,-85,9
192.168.1.122,-70,24
192.168.1.121,-85,9
192.168.1.122,-70,24
192.168.1.121,-85,9
192.168.1.122,-70,24
192.168.1.121,-85,9
192.168.1.122,-70,24
192.168.1.121,-85,9
192.168.1.122,-70,24
192.168.1.121,-85,9
192.168.1.122,-70,24
192.168.1.121,-85,9
192.168.1.122,-70,24
192.168.1.121,-85,9
192.168.1.122,-70,24
192.168.1.121,-85,9
192.168.1.122,-70,24
192.168.1.121,-85,9
192.168.1.122,-70,24
192.168.1.121,-85,9
192.168.1.122,-70,24
192.168.1.121,-85,9
192.168.1.122,-70,24
192.168.1.121,-85,9
192.168.1.122,-70,24
192.168.1.121,-85,9
192.168.1.122,-70,24
192.168.1.121,-85,9
192.168.1.122,-70,24
192.168.1.121,-85,9
192.168.1.122,-70,24
192.168.1.121,-85,9
192.168.1.122,-70,24
192.168.1.121,-85,9
192.168.1.122,-70,24
192.168.1.121,-85,9
192.168.1.122,-70,24
192.168.1.121,-85,9
192.168.1.122,-62,32
192.168.1.121,-85,9
192.168.1.122,-62,32
192.168.1.121,-85,9
192.168.1.122,-62,32
192.168.1.121,-85,9
192.168.1.122,-62,32
192.168.1.121,-85,9
192.168.1.122,-62,32
192.168.1.121,-85,9
192.168.1.122,-62,32
192.168.1.121,-85,9
192.168.1.122,-62,32
192.168.1.121,-85,9
192.168.1.122,-62,32
192.168.1.121,-85,9
192.168.1.122,-62,32
192.168.1.121,-85,9
192.168.1.122,-62,32
192.168.1.121,-85,9
192.168.1.122,-62,32
192.168.1.121,-85,9
192.168.1.122,-62,32
192.168.1.121,-85,9
192.168.1.122,-62,32
192.168.1.121,-85,9
192.168.1.122,-62,32
192.168.1.121,-85,9
192.168.1.122,-62,32
192.168.1.121,-85,9
192.168.1.122,-62,32
192.168.1.121,-85,9
192.168.1.122,-62,32
192.168.1.121,-85,9
192.168.1.122,-62,32
192.168.1.121,-85,9
192.168.1.122,-62,32
192.168.1.121,-85,9
192.168.1.122,-62,32
192.168.1.121,-85,9
192.168.1.122,-62,32
192.168.1.121,-85,9
192.168.1.122,-62,32
192.168.1.121,-85,9
192.168.1.122,-62,32
192.168.1.121,-85,9
192.168.1.122,-54,40
192.168.1.121,-85,9
192.168.1.122,-54,40
192.168.1.121,-85,9
192.168.1.122,-54,40
192.168.1.121,-85,9
192.168.1.122,-54,40
192.168.1.121,-85,9
192.168.1.122,-54,40
192.168.1.121,-85,9
192.168.1.122,-54,40
192.168.1.121,-85,9
192.168.1.122,-54,40
