IP,DBM,RSSI
192.168.1.121,-52,42
192.168.1.121,-52,42
192.168.1.121,-52,42
192.168.1.121,-52,42
192.168.1.121,-52,42
192.168.1.121,-52,42
192.168.1.121,-52,42
192.168.1.121,-52,42
192.168.1.121,-52,42
192.168.1.121,-52,42
192.168.1.121,-52,42
192.168.1.121,-52,42
192.168.1.121,-52,42
192.168.1.121,-52,42
192.168.1.121,-52,42
192.168.1.121,-52,42
192.168.1.121,-52,42
192.168.1.121,-52,42
192.168.1.121,-52,42
192.168.1.121,-52,42
192.168.1.121,-52,42
192.168.1.121,-52,42
192.168.1.121,-52,42
192.168.1.121,-52,42
192.168.1.121,-52,42
192.168.1.121,-52,42
192.168.1.121,-52,42
192.168.1.121,-52,42
192.168.1.121,-52,42
192.168.1.121,-52,42
192.168.1.121,-52,42
192.168.1.121,-52,42
192.168.1.121,-52,42
192.168.1.121,-52,42
192.168.1.121,-52,42
192.168.1.121,-52,42
192.168.1.121,-52,42
192.168.1.121,-52,42
192.168.1.121,-52,42
192.168.1.121,-52,42
192.168.1.121,-52,42
192.168.1.121,-52,42
192.168.1.121,-52,42
192.168.1.121,-52,42
192.168.1.121,-52,42
192.168.1.121,-52,42
192.168.1.121,-52,42
192.168.1.121,-52,42
192.168.1.121,-52,42
192.168.1.121,-52,42
192.168.1.121,-52,42
192.168.1.121,-52,42
192.168.1.121,-52,42
192.168.1.121,-52,42
192.168.1.121,-52,42
192.168.1.121,-52,42
192.168.1.121,-52,42
192.168.1.121,-52,42
192.168.1.121,-52,42
192.168.1.121,-52,42
192.168.1.121,-52,42
192.168.1.121,-52,42
192.168.1.121,-52,42
192.168.1.121,-52,42
192.168.1.121,-52,42
192.168.1.121,-52,42
192.168.1.121,-52,42
192.168.1.121,-52,42
192.168.1.121,-52,42
192.168.1.121,-52,42
192.168.1.121,-52,42
192.168.1.121,-52,42
192.168.1.121,-52,42
192.168.1.121,-52,42
192.168.1.121,-52,42
192.168.1.121,-52,42
192.168.1.121,-52,42
192.168.1.121,-52,42
192.168.1.121,-52,42
192.168.1.121,-52,42
192.168.1.121,-52,42
192.168.1.121,-52,42
192.168.1.121,-52,42
192.168.1.121,-52,42
192.168.1.121,-52,42
192.168.1.121,-52,42
192.168.1.121,-52,42
192.168.1.121,-52,42
192.168.1.121,-52,42
192.168.1.121,-52,42
192.168.1.121,-52,42
192.168.1.121,-52,42
192.168.1.121,-52,42
192.168.1.121,-52,42
192.168.1.121,-52,42
192.168.1.121,-52,42
192.168.1.121,-52,42
192.168.1.121,-52,42
192.168.1.121,-52,42
192.168.1.121,-52,42
