IP,DBM,RSSI
192.168.1.121,-43,50
192.168.1.121,-43,50
192.168.1.121,-43,50
192.168.1.121,-43,50
192.168.1.121,-43,50
192.168.1.121,-43,50
192.168.1.121,-43,50
192.168.1.121,-43,50
192.168.1.121,-43,50
192.168.1.121,-43,50
192.168.1.121,-43,50
192.168.1.121,-43,50
192.168.1.121,-43,50
192.168.1.121,-43,50
192.168.1.121,-43,50
192.168.1.121,-43,50
192.168.1.121,-43,50
192.168.1.121,-43,50
192.168.1.121,-43,50
192.168.1.121,-43,50
192.168.1.121,-43,50
192.168.1.121,-43,50
192.168.1.121,-43,50
192.168.1.121,-43,50
192.168.1.121,-43,50
192.168.1.121,-43,50
192.168.1.121,-43,50
192.168.1.121,-43,50
192.168.1.121,-43,50
192.168.1.121,-43,50
192.168.1.121,-43,50
192.168.1.121,-43,50
192.168.1.121,-43,50
192.168.1.121,-43,50
192.168.1.121,-43,50
192.168.1.121,-43,50
192.168.1.121,-43,50
192.168.1.121,-43,50
192.168.1.121,-43,50
192.168.1.121,-43,50
192.168.1.121,-43,50
192.168.1.121,-43,50
192.168.1.121,-43,50
192.168.1.121,-43,50
192.168.1.121,-43,50
192.168.1.121,-43,50
192.168.1.121,-43,50
192.168.1.121,-43,50
192.168.1.121,-43,50
192.168.1.121,-43,50
192.168.1.121,-43,50
192.168.1.121,-43,50
192.168.1.121,-43,50
192.168.1.121,-43,50
192.168.1.121,-43,50
192.168.1.121,-43,50
192.168.1.121,-43,50
192.168.1.121,-43,50
192.168.1.121,-43,50
192.168.1.121,-43,50
192.168.1.121,-43,50
192.168.1.121,-43,50
192.168.1.121,-43,50
192.168.1.121,-43,50
192.168.1.121,-43,50
192.168.1.121,-43,50
192.168.1.121,-43,50
192.168.1.121,-43,50
192.168.1.121,-43,50
192.168.1.121,-43,50
192.168.1.121,-43,50
192.168.1.121,-43,50
192.168.1.121,-43,50
192.168.1.121,-43,50
192.168.1.121,-43,50
192.168.1.121,-43,50
192.168.1.121,-43,50
192.168.1.121,-43,50
192.168.1.121,-43,50
192.168.1.121,-43,50
192.168.1.121,-43,50
192.168.1.121,-43,50
192.168.1.121,-43,50
192.168.1.121,-43,50
192.168.1.121,-43,50
192.168.1.121,-43,50
192.168.1.121,-43,50
192.168.1.121,-43,50
192.168.1.121,-43,50
192.168.1.121,-43,50
192.168.1.121,-43,50
192.168.1.121,-43,50
192.168.1.121,-43,50
192.168.1.121,-43,50
192.168.1.121,-43,50
192.168.1.121,-43,50
192.168.1.121,-43,50
192.168.1.121,-43,50
192.168.1.121,-43,50
192.168.1.121,-43,50
