IP,DBM,RSSI
192.168.1.121,-89,6
192.168.1.122,-50,45
192.168.1.121,-89,6
192.168.1.122,-50,45
192.168.1.121,-89,6
192.168.1.122,-50,45
192.168.1.121,-89,6
192.168.1.122,-50,45
192.168.1.121,-89,6
192.168.1.122,-50,45
192.168.1.121,-89,6
192.168.1.122,-50,45
192.168.1.121,-89,6
192.168.1.122,-50,45
192.168.1.121,-89,6
192.168.1.122,-50,45
192.168.1.121,-89,6
192.168.1.122,-50,45
192.168.1.121,-89,6
192.168.1.122,-50,45
192.168.1.121,-89,6
192.168.1.122,-50,45
192.168.1.121,-89,6
192.168.1.122,-50,45
192.168.1.121,-89,6
192.168.1.122,-50,45
192.168.1.121,-88,7
192.168.1.122,-39,56
192.168.1.121,-88,7
192.168.1.122,-39,56
192.168.1.121,-88,7
192.168.1.122,-39,56
192.168.1.121,-88,7
192.168.1.122,-39,56
192.168.1.121,-88,7
192.168.1.122,-39,56
192.168.1.121,-88,7
192.168.1.122,-39,56
192.168.1.121,-88,7
192.168.1.122,-39,56
192.168.1.121,-88,7
192.168.1.122,-39,56
192.168.1.121,-88,7
192.168.1.122,-39,56
192.168.1.121,-88,7
192.168.1.122,-39,56
192.168.1.121,-88,7
192.168.1.122,-39,56
192.168.1.121,-88,7
192.168.1.122,-39,56
192.168.1.121,-88,7
192.168.1.122,-39,56
192.168.1.121,-88,7
192.168.1.122,-39,56
192.168.1.121,-88,7
192.168.1.122,-39,56
192.168.1.121,-88,7
192.168.1.122,-39,56
192.168.1.121,-88,7
192.168.1.122,-39,56
192.168.1.121,-88,7
192.168.1.122,-39,56
192.168.1.121,-88,7
192.168.1.122,-39,56
192.168.1.121,-88,7
192.168.1.122,-39,56
192.168.1.121,-88,7
192.168.1.122,-39,56
192.168.1.121,-88,7
192.168.1.122,-39,56
192.168.1.121,-88,7
192.168.1.122,-39,56
192.168.1.121,-88,7
192.168.1.122,-39,56
192.168.1.121,-88,7
192.168.1.122,-39,56
192.168.1.121,-88,7
192.168.1.122,-39,56
192.168.1.121,-88,7
192.168.1.122,-39,56
192.168.1.121,-88,7
192.168.1.122,-39,56
192.168.1.121,-88,7
192.168.1.122,-39,56
192.168.1.121,-88,7
192.168.1.122,-39,56
192.168.1.121,-88,7
192.168.1.122,-39,56
192.168.1.121,-88,7
192.168.1.122,-39,56
192.168.1.121,-88,7
192.168.1.122,-39,56
192.168.1.121,-88,7
192.168.1.122,-39,56
192.168.1.121,-88,7
192.168.1.122,-39,56
192.168.1.121,-88,7
192.168.1.122,-39,56
192.168.1.121,-88,7
192.168.1.122,-39,56
192.168.1.121,-88,7
192.168.1.122,-39,56
192.168.1.121,-88,7
192.168.1.122,-39,56
192.168.1.121,-88,7
192.168.1.122,-39,56
192.168.1.121,-88,7
192.168.1.122,-39,56
192.168.1.121,-88,7
192.168.1.122,-39,56
192.168.1.121,-88,7
192.168.1.122,-54,41
192.168.1.121,-88,7
192.168.1.122,-54,41
192.168.1.121,-88,7
192.168.1.122,-54,41
192.168.1.121,-88,7
192.168.1.122,-54,41
192.168.1.121,-88,7
192.168.1.122,-54,41
192.168.1.121,-88,7
192.168.1.122,-54,41
192.168.1.121,-88,7
192.168.1.122,-54,41
192.168.1.121,-88,7
192.168.1.122,-54,41
192.168.1.121,-88,7
192.168.1.122,-54,41
192.168.1.121,-88,7
192.168.1.122,-54,41
192.168.1.121,-88,7
192.168.1.122,-54,41
192.168.1.121,-88,7
192.168.1.122,-54,41
192.168.1.121,-88,7
192.168.1.122,-54,41
192.168.1.121,-88,7
192.168.1.122,-54,41
192.168.1.121,-88,7
192.168.1.122,-54,41
192.168.1.121,-88,7
192.168.1.122,-54,41
192.168.1.121,-88,7
192.168.1.122,-54,41
192.168.1.121,-88,7
192.168.1.122,-54,41
192.168.1.121,-88,7
192.168.1.122,-54,41
192.168.1.121,-88,7
192.168.1.122,-54,41
192.168.1.121,-88,7
192.168.1.122,-54,41
192.168.1.121,-88,7
192.168.1.122,-54,41
192.168.1.121,-88,7
192.168.1.122,-54,41
192.168.1.121,-88,7
192.168.1.122,-54,41
192.168.1.121,-88,7
192.168.1.122,-54,41
192.168.1.121,-88,7
192.168.1.122,-54,41
192.168.1.121,-88,7
192.168.1.122,-54,41
192.168.1.121,-88,7
192.168.1.122,-54,41
192.168.1.121,-88,7
192.168.1.122,-54,41
192.168.1.121,-88,7
192.168.1.122,-54,41
192.168.1.121,-88,7
192.168.1.122,-54,41
192.168.1.121,-88,7
192.168.1.122,-54,41
192.168.1.121,-88,7
192.168.1.122,-54,41
192.168.1.121,-88,7
192.168.1.122,-54,41
192.168.1.121,-88,7
192.168.1.122,-54,41
192.168.1.121,-88,7
192.168.1.122,-54,41
192.168.1.121,-88,7
192.168.1.122,-54,41
192.168.1.121,-88,7
192.168.1.122,-54,41
192.168.1.121,-88,7
192.168.1.122,-54,41
192.168.1.121,-88,7
192.168.1.122,-54,41
192.168.1.121,-88,7
192.168.1.122,-54,41
192.168.1.121,-88,7
192.168.1.122,-54,41
192.168.1.121,-88,7
192.168.1.122,-54,41
192.168.1.121,-88,7
192.168.1.122,-54,41
192.168.1.121,-88,7
192.168.1.122,-54,41
