IP,DBM,RSSI
192.168.1.121,-39,57
192.168.1.121,-39,57
192.168.1.121,-39,57
192.168.1.121,-38,58
192.168.1.121,-38,58
192.168.1.121,-38,58
192.168.1.121,-38,58
192.168.1.121,-38,58
192.168.1.121,-38,58
192.168.1.121,-38,58
192.168.1.121,-38,58
192.168.1.121,-38,58
192.168.1.121,-38,58
192.168.1.121,-38,58
192.168.1.121,-38,58
192.168.1.121,-38,58
192.168.1.121,-38,58
192.168.1.121,-38,58
192.168.1.121,-38,58
192.168.1.121,-38,58
192.168.1.121,-38,58
192.168.1.121,-38,58
192.168.1.121,-38,58
192.168.1.121,-38,58
192.168.1.121,-38,58
192.168.1.121,-38,58
192.168.1.121,-38,58
192.168.1.121,-38,58
192.168.1.121,-38,58
192.168.1.121,-38,58
192.168.1.121,-38,58
192.168.1.121,-38,58
192.168.1.121,-38,58
192.168.1.121,-38,58
192.168.1.121,-38,58
192.168.1.121,-38,58
192.168.1.121,-38,58
192.168.1.121,-38,58
192.168.1.121,-38,58
192.168.1.121,-38,58
192.168.1.121,-38,58
192.168.1.121,-38,58
192.168.1.121,-38,58
192.168.1.121,-38,58
192.168.1.121,-38,58
192.168.1.121,-38,58
192.168.1.121,-38,58
192.168.1.121,-38,58
192.168.1.121,-38,58
192.168.1.121,-38,58
192.168.1.121,-38,58
192.168.1.121,-38,58
192.168.1.121,-38,58
192.168.1.121,-38,58
192.168.1.121,-38,58
192.168.1.121,-38,58
192.168.1.121,-38,58
192.168.1.121,-38,58
192.168.1.121,-38,58
192.168.1.121,-38,58
192.168.1.121,-38,58
192.168.1.121,-38,58
192.168.1.121,-38,58
192.168.1.121,-38,58
192.168.1.121,-38,58
192.168.1.121,-38,58
192.168.1.121,-38,58
192.168.1.121,-38,58
192.168.1.121,-38,58
192.168.1.121,-38,58
192.168.1.121,-38,58
192.168.1.121,-38,58
192.168.1.121,-38,58
192.168.1.121,-38,58
192.168.1.121,-38,58
192.168.1.121,-38,58
192.168.1.121,-38,58
192.168.1.121,-38,58
192.168.1.121,-38,58
192.168.1.121,-38,58
192.168.1.121,-38,58
192.168.1.121,-38,58
192.168.1.121,-39,56
192.168.1.121,-39,56
192.168.1.121,-39,56
192.168.1.121,-39,56
192.168.1.121,-39,56
192.168.1.121,-39,56
192.168.1.121,-39,56
192.168.1.121,-39,56
192.168.1.121,-39,56
192.168.1.121,-39,56
192.168.1.121,-39,56
192.168.1.121,-39,56
192.168.1.121,-39,56
192.168.1.121,-39,56
192.168.1.121,-39,56
192.168.1.121,-39,56
192.168.1.121,-39,56
192.168.1.121,-39,56
