IP,DBM,RSSI
192.168.1.121,-73,21
192.168.1.122,-52,42
192.168.1.121,-73,21
192.168.1.122,-52,42
192.168.1.121,-73,21
192.168.1.122,-52,42
192.168.1.121,-73,21
192.168.1.122,-52,42
192.168.1.121,-73,21
192.168.1.122,-52,42
192.168.1.121,-73,21
192.168.1.122,-52,42
192.168.1.121,-73,21
192.168.1.122,-52,42
192.168.1.121,-73,21
192.168.1.122,-52,42
192.168.1.121,-73,21
192.168.1.122,-52,42
192.168.1.121,-73,21
192.168.1.122,-52,42
192.168.1.121,-73,21
192.168.1.122,-52,42
192.168.1.121,-73,21
192.168.1.122,-52,42
192.168.1.121,-73,21
192.168.1.122,-52,42
192.168.1.121,-73,21
192.168.1.122,-52,42
192.168.1.121,-73,21
192.168.1.122,-52,42
192.168.1.121,-73,21
192.168.1.122,-52,42
192.168.1.121,-73,21
192.168.1.122,-40,54
192.168.1.121,-73,21
192.168.1.122,-40,54
192.168.1.121,-73,21
192.168.1.122,-40,54
192.168.1.121,-73,21
192.168.1.122,-40,54
192.168.1.121,-73,21
192.168.1.122,-40,54
192.168.1.121,-73,21
192.168.1.122,-40,54
192.168.1.121,-73,21
192.168.1.122,-40,54
192.168.1.121,-73,21
192.168.1.122,-40,54
192.168.1.121,-73,21
192.168.1.122,-40,54
192.168.1.121,-73,21
192.168.1.122,-40,54
192.168.1.121,-73,21
192.168.1.122,-40,54
192.168.1.121,-73,21
192.168.1.122,-40,54
192.168.1.121,-73,21
192.168.1.122,-40,54
192.168.1.121,-73,21
192.168.1.122,-40,54
192.168.1.121,-73,21
192.168.1.122,-40,54
192.168.1.121,-73,21
192.168.1.122,-40,54
192.168.1.121,-73,21
192.168.1.122,-40,54
192.168.1.121,-73,21
192.168.1.122,-40,54
192.168.1.121,-73,21
192.168.1.122,-40,54
192.168.1.121,-73,21
192.168.1.122,-40,54
192.168.1.121,-73,21
192.168.1.122,-40,54
192.168.1.121,-73,21
192.168.1.122,-40,54
192.168.1.121,-73,21
192.168.1.122,-40,54
192.168.1.121,-73,21
192.168.1.122,-40,54
192.168.1.121,-73,21
192.168.1.122,-40,54
192.168.1.121,-73,21
192.168.1.122,-40,54
192.168.1.121,-73,21
192.168.1.122,-40,54
192.168.1.121,-73,21
192.168.1.122,-40,54
192.168.1.121,-73,21
192.168.1.122,-40,54
192.168.1.121,-73,21
192.168.1.122,-40,54
192.168.1.121,-73,21
192.168.1.122,-40,54
192.168.1.121,-73,21
192.168.1.122,-40,54
192.168.1.121,-73,21
192.168.1.122,-40,54
192.168.1.121,-73,21
192.168.1.122,-40,54
192.168.1.121,-73,21
192.168.1.122,-40,54
192.168.1.121,-73,21
192.168.1.122,-40,54
192.168.1.121,-73,21
192.168.1.122,-40,54
192.168.1.121,-73,21
192.168.1.122,-40,54
192.168.1.121,-73,21
192.168.1.122,-40,54
192.168.1.121,-73,21
192.168.1.122,-40,54
192.168.1.121,-73,21
192.168.1.122,-40,54
192.168.1.121,-73,21
192.168.1.122,-40,54
192.168.1.121,-73,21
192.168.1.122,-40,54
192.168.1.121,-73,21
192.168.1.122,-40,54
192.168.1.121,-73,21
192.168.1.122,-51,43
192.168.1.121,-73,21
192.168.1.122,-51,43
192.168.1.121,-73,21
192.168.1.122,-51,43
192.168.1.121,-73,21
192.168.1.122,-51,43
192.168.1.121,-73,21
192.168.1.122,-51,43
192.168.1.121,-73,21
192.168.1.122,-51,43
192.168.1.121,-73,21
192.168.1.122,-51,43
192.168.1.121,-73,21
192.168.1.122,-51,43
192.168.1.121,-73,21
192.168.1.122,-51,43
192.168.1.121,-73,21
192.168.1.122,-51,43
192.168.1.121,-73,21
192.168.1.122,-51,43
192.168.1.121,-73,21
192.168.1.122,-51,43
192.168.1.121,-73,21
192.168.1.122,-51,43
192.168.1.121,-73,21
192.168.1.122,-51,43
192.168.1.121,-73,21
192.168.1.122,-51,43
192.168.1.121,-73,21
192.168.1.122,-51,43
192.168.1.121,-73,21
192.168.1.122,-51,43
192.168.1.121,-73,21
192.168.1.122,-51,43
192.168.1.121,-73,21
192.168.1.122,-51,43
192.168.1.121,-73,21
192.168.1.122,-51,43
192.168.1.121,-73,21
192.168.1.122,-51,43
192.168.1.121,-73,21
192.168.1.122,-51,43
192.168.1.121,-73,21
192.168.1.122,-51,43
192.168.1.121,-73,21
192.168.1.122,-51,43
192.168.1.121,-73,21
192.168.1.122,-51,43
192.168.1.121,-73,21
192.168.1.122,-51,43
192.168.1.121,-73,21
192.168.1.122,-51,43
192.168.1.121,-73,21
192.168.1.122,-51,43
192.168.1.121,-73,21
192.168.1.122,-51,43
192.168.1.121,-73,21
192.168.1.122,-51,43
192.168.1.121,-73,21
192.168.1.122,-51,43
192.168.1.121,-73,21
192.168.1.122,-51,43
192.168.1.121,-73,21
192.168.1.122,-51,43
192.168.1.121,-73,21
192.168.1.122,-51,43
192.168.1.121,-73,21
192.168.1.122,-51,43
192.168.1.121,-73,21
192.168.1.122,-51,43
192.168.1.121,-73,21
192.168.1.122,-51,43
192.168.1.121,-73,21
192.168.1.122,-51,43
192.168.1.121,-73,21
192.168.1.122,-51,43
192.168.1.121,-73,21
192.168.1.122,-51,43
