IP,DBM,RSSI
192.168.1.121,-53,41
192.168.1.121,-53,41
192.168.1.121,-53,41
192.168.1.121,-53,41
192.168.1.121,-53,41
192.168.1.121,-53,41
192.168.1.121,-53,41
192.168.1.121,-53,41
192.168.1.121,-53,41
192.168.1.121,-53,41
192.168.1.121,-53,41
192.168.1.121,-53,41
192.168.1.121,-53,41
192.168.1.121,-53,41
192.168.1.121,-53,41
192.168.1.121,-53,41
192.168.1.121,-60,34
192.168.1.121,-60,34
192.168.1.121,-60,34
192.168.1.121,-60,34
192.168.1.121,-60,34
192.168.1.121,-60,34
192.168.1.121,-60,34
192.168.1.121,-60,34
192.168.1.121,-60,34
192.168.1.121,-60,34
192.168.1.121,-60,34
192.168.1.121,-60,34
192.168.1.121,-60,34
192.168.1.121,-60,34
192.168.1.121,-60,34
192.168.1.121,-60,34
192.168.1.121,-60,34
192.168.1.121,-60,34
192.168.1.121,-60,34
192.168.1.121,-60,34
192.168.1.121,-60,34
192.168.1.121,-60,34
192.168.1.121,-60,34
192.168.1.121,-60,34
192.168.1.121,-60,34
192.168.1.121,-60,34
192.168.1.121,-60,34
192.168.1.121,-60,34
192.168.1.121,-60,34
192.168.1.121,-60,34
192.168.1.121,-60,34
192.168.1.121,-60,34
192.168.1.121,-60,34
192.168.1.121,-60,34
192.168.1.121,-60,34
192.168.1.121,-60,34
192.168.1.121,-60,34
192.168.1.121,-60,34
192.168.1.121,-60,34
192.168.1.121,-60,34
192.168.1.121,-60,34
192.168.1.121,-60,34
192.168.1.121,-60,34
192.168.1.121,-60,34
192.168.1.121,-60,34
192.168.1.121,-60,34
192.168.1.121,-60,34
192.168.1.121,-60,34
192.168.1.121,-60,34
192.168.1.121,-60,34
192.168.1.121,-60,34
192.168.1.121,-60,34
192.168.1.121,-60,34
192.168.1.121,-55,39
192.168.1.121,-55,39
192.168.1.121,-55,39
192.168.1.121,-55,39
192.168.1.121,-55,39
192.168.1.121,-55,39
192.168.1.121,-55,39
192.168.1.121,-55,39
192.168.1.121,-55,39
192.168.1.121,-55,39
192.168.1.121,-55,39
192.168.1.121,-55,39
192.168.1.121,-55,39
192.168.1.121,-55,39
192.168.1.121,-55,39
192.168.1.121,-55,39
192.168.1.121,-55,39
192.168.1.121,-55,39
192.168.1.121,-55,39
192.168.1.121,-55,39
192.168.1.121,-55,39
192.168.1.121,-55,39
192.168.1.121,-55,39
192.168.1.121,-55,39
192.168.1.121,-55,39
192.168.1.121,-55,39
192.168.1.121,-55,39
192.168.1.121,-55,39
192.168.1.121,-55,39
192.168.1.121,-55,39
192.168.1.121,-55,39
