IP,DBM,RSSI
192.168.1.121,-49,45
192.168.1.121,-49,45
192.168.1.121,-49,45
192.168.1.121,-49,45
192.168.1.121,-49,45
192.168.1.121,-49,45
192.168.1.121,-49,45
192.168.1.121,-49,45
192.168.1.121,-49,45
192.168.1.121,-49,45
192.168.1.121,-49,45
192.168.1.121,-49,45
192.168.1.121,-49,45
192.168.1.121,-49,45
192.168.1.121,-49,45
192.168.1.121,-49,45
192.168.1.121,-49,45
192.168.1.121,-49,45
192.168.1.121,-49,45
192.168.1.121,-49,45
192.168.1.121,-49,45
192.168.1.121,-49,45
192.168.1.121,-49,45
192.168.1.121,-49,45
192.168.1.121,-49,45
192.168.1.121,-49,45
192.168.1.121,-49,45
192.168.1.121,-49,45
192.168.1.121,-49,45
192.168.1.121,-49,45
192.168.1.121,-49,45
192.168.1.121,-49,45
192.168.1.121,-49,45
192.168.1.121,-49,45
192.168.1.121,-49,45
192.168.1.121,-49,45
192.168.1.121,-49,45
192.168.1.121,-49,45
192.168.1.121,-49,45
192.168.1.121,-49,45
192.168.1.121,-49,45
192.168.1.121,-49,45
192.168.1.121,-49,45
192.168.1.121,-49,45
192.168.1.121,-49,45
192.168.1.121,-49,45
192.168.1.121,-49,45
192.168.1.121,-49,45
192.168.1.121,-49,45
192.168.1.121,-49,45
192.168.1.121,-49,45
192.168.1.121,-49,45
192.168.1.121,-49,45
192.168.1.121,-49,45
192.168.1.121,-49,45
192.168.1.121,-49,45
192.168.1.121,-49,45
192.168.1.121,-49,45
192.168.1.121,-49,45
192.168.1.121,-49,45
192.168.1.121,-49,45
192.168.1.121,-49,45
192.168.1.121,-49,45
192.168.1.121,-49,45
192.168.1.121,-49,45
192.168.1.121,-49,45
192.168.1.121,-49,45
192.168.1.121,-49,45
192.168.1.121,-49,45
192.168.1.121,-49,45
192.168.1.121,-49,45
192.168.1.121,-49,45
192.168.1.121,-49,45
192.168.1.121,-49,45
192.168.1.121,-49,45
192.168.1.121,-49,45
192.168.1.121,-49,45
192.168.1.121,-49,45
192.168.1.121,-49,45
192.168.1.121,-49,45
192.168.1.121,-49,45
192.168.1.121,-49,45
192.168.1.121,-49,45
192.168.1.121,-49,45
192.168.1.121,-49,45
192.168.1.121,-49,45
192.168.1.121,-49,45
192.168.1.121,-49,45
192.168.1.121,-49,45
192.168.1.121,-49,45
192.168.1.121,-49,45
192.168.1.121,-49,45
192.168.1.121,-49,45
192.168.1.121,-49,45
192.168.1.121,-49,45
192.168.1.121,-49,45
192.168.1.121,-49,45
192.168.1.121,-49,45
192.168.1.121,-49,45
192.168.1.121,-49,45
