IP,DBM,RSSI
192.168.1.121,-59,36
192.168.1.121,-59,36
192.168.1.121,-59,36
192.168.1.121,-59,36
192.168.1.121,-59,36
192.168.1.121,-59,36
192.168.1.121,-59,36
192.168.1.121,-59,36
192.168.1.121,-59,36
192.168.1.121,-59,36
192.168.1.121,-59,36
192.168.1.121,-59,36
192.168.1.121,-59,36
192.168.1.121,-59,36
192.168.1.121,-59,36
192.168.1.121,-59,36
192.168.1.121,-59,36
192.168.1.121,-59,36
192.168.1.121,-59,36
192.168.1.121,-59,36
192.168.1.121,-59,36
192.168.1.121,-59,36
192.168.1.121,-59,36
192.168.1.121,-59,36
192.168.1.121,-59,36
192.168.1.121,-59,36
192.168.1.121,-59,36
192.168.1.121,-59,36
192.168.1.121,-59,36
192.168.1.121,-59,36
192.168.1.121,-59,36
192.168.1.121,-59,36
192.168.1.121,-59,36
192.168.1.121,-59,36
192.168.1.121,-59,36
192.168.1.121,-59,36
192.168.1.121,-59,36
192.168.1.121,-59,36
192.168.1.121,-59,36
192.168.1.121,-59,36
192.168.1.121,-59,36
192.168.1.121,-59,36
192.168.1.121,-59,36
192.168.1.121,-59,36
192.168.1.121,-59,36
192.168.1.121,-59,36
192.168.1.121,-59,36
192.168.1.121,-59,36
192.168.1.121,-59,36
192.168.1.121,-59,36
192.168.1.121,-59,36
192.168.1.121,-59,36
192.168.1.121,-59,36
192.168.1.121,-59,36
192.168.1.121,-59,36
192.168.1.121,-59,36
192.168.1.121,-59,36
192.168.1.121,-59,36
192.168.1.121,-61,34
192.168.1.121,-61,34
192.168.1.121,-61,34
192.168.1.121,-61,34
192.168.1.121,-61,34
192.168.1.121,-61,34
192.168.1.121,-61,34
192.168.1.121,-61,34
192.168.1.121,-61,34
192.168.1.121,-61,34
192.168.1.121,-61,34
192.168.1.121,-61,34
192.168.1.121,-61,34
192.168.1.121,-61,34
192.168.1.121,-61,34
192.168.1.121,-61,34
192.168.1.121,-61,34
192.168.1.121,-61,34
192.168.1.121,-61,34
192.168.1.121,-61,34
192.168.1.121,-61,34
192.168.1.121,-61,34
192.168.1.121,-61,34
192.168.1.121,-61,34
192.168.1.121,-61,34
192.168.1.121,-61,34
192.168.1.121,-61,34
192.168.1.121,-61,34
192.168.1.121,-61,34
192.168.1.121,-61,34
192.168.1.121,-61,34
192.168.1.121,-61,34
192.168.1.121,-61,34
192.168.1.121,-61,34
192.168.1.121,-61,34
192.168.1.121,-61,34
192.168.1.121,-61,34
192.168.1.121,-61,34
192.168.1.121,-61,34
192.168.1.121,-61,34
192.168.1.121,-61,34
192.168.1.121,-61,34
