IP,Time
192.168.1.125,6.190299987792969
192.168.1.125,7.237672805786133
192.168.1.125,17.008304595947266
192.168.1.125,7.599115371704102
192.168.1.125,4.148006439208984
192.168.1.125,1.7743110656738281
192.168.1.125,9.057044982910156
192.168.1.125,3.414630889892578
192.168.1.125,7.07697868347168
192.168.1.125,2.8488636016845703
192.168.1.125,8.91566276550293
192.168.1.125,7.912397384643555
192.168.1.125,8.127927780151367
192.168.1.125,7.61723518371582
192.168.1.125,5.465984344482422
192.168.1.125,9.467840194702148
192.168.1.125,6.948709487915039
192.168.1.125,13.258218765258789
192.168.1.125,4.855632781982422
192.168.1.125,6.951332092285156
192.168.1.125,13.422727584838867
192.168.1.125,13.509035110473633
192.168.1.125,7.54547119140625
192.168.1.125,6.831645965576172
192.168.1.125,7.874488830566406
192.168.1.125,12.538671493530273
192.168.1.125,4.715204238891602
192.168.1.125,4.291296005249023
192.168.1.125,12.985706329345703
192.168.1.125,2.1288394927978516
192.168.1.125,9.032249450683594
192.168.1.125,3.6613941192626953
192.168.1.125,3.842592239379883
192.168.1.125,10.049104690551758
192.168.1.125,11.423587799072266
192.168.1.125,6.826162338256836
192.168.1.125,5.80286979675293
192.168.1.125,2.035856246948242
192.168.1.125,9.921550750732422
192.168.1.125,12.69221305847168
192.168.1.125,5.990743637084961
192.168.1.125,11.402368545532227
192.168.1.125,2.8197765350341797
192.168.1.125,3.354310989379883
192.168.1.125,6.48951530456543
192.168.1.125,5.956411361694336
192.168.1.125,2.1970272064208984
192.168.1.125,33.67352485656738
192.168.1.125,8.720636367797852
192.168.1.125,3.215789794921875
192.168.1.125,9.675025939941406
192.168.1.125,2.0062923431396484
192.168.1.125,2.0525455474853516
192.168.1.125,3.8101673126220703
192.168.1.125,9.324312210083008
192.168.1.125,1.9664764404296875
192.168.1.125,4.78363037109375
192.168.1.125,6.156444549560547
192.168.1.125,4.956722259521484
192.168.1.125,1.9278526306152344
192.168.1.125,1.9066333770751953
192.168.1.125,16.611337661743164
192.168.1.125,4.318952560424805
192.168.1.125,10.447263717651367
192.168.1.125,16.925573348999023
192.168.1.125,6.644964218139648
192.168.1.125,8.059501647949219
192.168.1.125,2.13623046875
192.168.1.125,10.817527770996094
192.168.1.125,2.1123886108398438
192.168.1.125,1.9259452819824219
192.168.1.125,12.839555740356445
192.168.1.125,9.659290313720703
192.168.1.125,9.565114974975586
192.168.1.125,10.035037994384766
192.168.1.125,3.218412399291992
192.168.1.125,2.0203590393066406
192.168.1.125,3.0362606048583984
192.168.1.125,7.721662521362305
192.168.1.125,2.349853515625
192.168.1.125,12.178897857666016
192.168.1.125,20.61915397644043
192.168.1.125,5.063772201538086
192.168.1.125,4.467487335205078
192.168.1.125,2.158641815185547
192.168.1.125,35.28952598571777
192.168.1.125,6.606101989746094
192.168.1.125,11.92331314086914
192.168.1.125,5.634069442749023
192.168.1.125,5.654573440551758
192.168.1.125,6.840229034423828
192.168.1.125,3.721475601196289
192.168.1.125,7.704734802246094
192.168.1.125,2.499818801879883
192.168.1.125,141.56460762023926
192.168.1.125,7.299900054931641
192.168.1.125,9.30643081665039
192.168.1.125,7.380962371826172
192.168.1.125,14.921188354492188
192.168.1.125,5.904197692871094
