IP,DBM,RSSI
192.168.1.121,-58,37
192.168.1.121,-58,37
192.168.1.121,-58,37
192.168.1.121,-58,37
192.168.1.121,-58,37
192.168.1.121,-58,37
192.168.1.121,-58,37
192.168.1.121,-58,37
192.168.1.121,-58,37
192.168.1.121,-58,37
192.168.1.121,-58,37
192.168.1.121,-58,37
192.168.1.121,-58,37
192.168.1.121,-58,37
192.168.1.121,-58,37
192.168.1.121,-58,37
192.168.1.121,-58,37
192.168.1.121,-58,37
192.168.1.121,-58,37
192.168.1.121,-58,37
192.168.1.121,-58,37
192.168.1.121,-58,37
192.168.1.121,-58,37
192.168.1.121,-58,37
192.168.1.121,-58,37
192.168.1.121,-58,37
192.168.1.121,-58,37
192.168.1.121,-58,37
192.168.1.121,-58,37
192.168.1.121,-58,37
192.168.1.121,-58,37
192.168.1.121,-58,37
192.168.1.121,-58,37
192.168.1.121,-58,37
192.168.1.121,-58,37
192.168.1.121,-58,37
192.168.1.121,-58,37
192.168.1.121,-49,46
192.168.1.121,-49,46
192.168.1.121,-49,46
192.168.1.121,-49,46
192.168.1.121,-49,46
192.168.1.121,-49,46
192.168.1.121,-49,46
192.168.1.121,-49,46
192.168.1.121,-49,46
192.168.1.121,-49,46
192.168.1.121,-49,46
192.168.1.121,-49,46
192.168.1.121,-49,46
192.168.1.121,-49,46
192.168.1.121,-49,46
192.168.1.121,-49,46
192.168.1.121,-49,46
192.168.1.121,-49,46
192.168.1.121,-49,46
192.168.1.121,-49,46
192.168.1.121,-49,46
192.168.1.121,-49,46
192.168.1.121,-49,46
192.168.1.121,-49,46
192.168.1.121,-49,46
192.168.1.121,-49,46
192.168.1.121,-49,46
192.168.1.121,-49,46
192.168.1.121,-49,46
192.168.1.121,-49,46
192.168.1.121,-49,46
192.168.1.121,-49,46
192.168.1.121,-49,46
192.168.1.121,-49,46
192.168.1.121,-49,46
192.168.1.121,-49,46
192.168.1.121,-49,46
192.168.1.121,-49,46
192.168.1.121,-49,46
192.168.1.121,-49,46
192.168.1.121,-49,46
192.168.1.121,-49,46
192.168.1.121,-49,46
192.168.1.121,-49,46
192.168.1.121,-49,46
192.168.1.121,-49,46
192.168.1.121,-49,46
192.168.1.121,-49,46
192.168.1.121,-49,46
192.168.1.121,-49,46
192.168.1.121,-49,46
192.168.1.121,-49,46
192.168.1.121,-49,46
192.168.1.121,-49,46
192.168.1.121,-49,46
192.168.1.121,-49,46
192.168.1.121,-49,46
192.168.1.121,-49,46
192.168.1.121,-49,46
192.168.1.121,-49,46
192.168.1.121,-49,46
192.168.1.121,-49,46
192.168.1.121,-49,46
