IP,DBM,RSSI
192.168.1.121,-44,50
192.168.1.121,-44,50
192.168.1.121,-44,50
192.168.1.121,-44,50
192.168.1.121,-44,50
192.168.1.121,-44,50
192.168.1.121,-44,50
192.168.1.121,-44,50
192.168.1.121,-44,50
192.168.1.121,-44,50
192.168.1.121,-44,50
192.168.1.121,-44,50
192.168.1.121,-44,50
192.168.1.121,-44,50
192.168.1.121,-44,50
192.168.1.121,-44,50
192.168.1.121,-44,50
192.168.1.121,-44,50
192.168.1.121,-44,50
192.168.1.121,-44,50
192.168.1.121,-44,50
192.168.1.121,-44,50
192.168.1.121,-44,50
192.168.1.121,-44,50
192.168.1.121,-44,50
192.168.1.121,-44,50
192.168.1.121,-44,50
192.168.1.121,-44,50
192.168.1.121,-44,50
192.168.1.121,-44,50
192.168.1.121,-44,50
192.168.1.121,-44,50
192.168.1.121,-44,50
192.168.1.121,-44,50
192.168.1.121,-44,50
192.168.1.121,-44,50
192.168.1.121,-44,50
192.168.1.121,-44,50
192.168.1.121,-44,50
192.168.1.121,-44,50
192.168.1.121,-44,50
192.168.1.121,-44,50
192.168.1.121,-44,50
192.168.1.121,-44,50
192.168.1.121,-44,50
192.168.1.121,-44,50
192.168.1.121,-44,50
192.168.1.121,-44,50
192.168.1.121,-44,50
192.168.1.121,-44,50
192.168.1.121,-44,50
192.168.1.121,-44,50
192.168.1.121,-44,50
192.168.1.121,-44,50
192.168.1.121,-44,50
192.168.1.121,-44,50
192.168.1.121,-44,50
192.168.1.121,-44,50
192.168.1.121,-44,50
192.168.1.121,-44,50
192.168.1.121,-44,50
192.168.1.121,-44,50
192.168.1.121,-44,50
192.168.1.121,-44,50
192.168.1.121,-44,50
192.168.1.121,-44,50
192.168.1.121,-44,50
192.168.1.121,-44,50
192.168.1.121,-44,50
192.168.1.121,-44,50
192.168.1.121,-44,50
192.168.1.121,-44,50
192.168.1.121,-44,50
192.168.1.121,-44,50
192.168.1.121,-44,50
192.168.1.121,-44,50
192.168.1.121,-44,50
192.168.1.121,-44,50
192.168.1.121,-44,50
192.168.1.121,-44,50
192.168.1.121,-44,50
192.168.1.121,-44,50
192.168.1.121,-44,50
192.168.1.121,-44,50
192.168.1.121,-44,50
192.168.1.121,-44,50
192.168.1.121,-44,50
192.168.1.121,-44,50
192.168.1.121,-44,50
192.168.1.121,-44,50
192.168.1.121,-44,50
192.168.1.121,-44,50
192.168.1.121,-44,50
192.168.1.121,-44,50
192.168.1.121,-44,50
192.168.1.121,-44,50
192.168.1.121,-44,50
192.168.1.121,-44,50
192.168.1.121,-44,50
192.168.1.121,-44,50
