IP,Time
192.168.1.122,27.740478515625
192.168.1.122,23.710250854492188
192.168.1.122,148.573637008667
192.168.1.122,22.562265396118164
192.168.1.122,5.60307502746582
192.168.1.122,11.066198348999023
192.168.1.122,37.77456283569336
192.168.1.122,13.193845748901367
192.168.1.122,4.540205001831055
192.168.1.122,4.195451736450195
192.168.1.122,23.79584312438965
192.168.1.122,3.5657882690429688
192.168.1.122,2.4156570434570312
192.168.1.122,1.7366409301757812
192.168.1.122,4.307985305786133
192.168.1.122,3.1731128692626953
192.168.1.122,1.7514228820800781
192.168.1.122,5.987882614135742
192.168.1.122,4.121541976928711
192.168.1.122,55.69577217102051
192.168.1.122,72.46756553649902
192.168.1.122,4.269123077392578
192.168.1.122,30.590295791625977
192.168.1.122,11.370182037353516
192.168.1.122,1.8181800842285156
192.168.1.122,13.53597640991211
192.168.1.122,139.5864486694336
192.168.1.122,10.96343994140625
192.168.1.122,29.122352600097656
192.168.1.122,13.662338256835938
192.168.1.122,3.624439239501953
192.168.1.122,5.043745040893555
192.168.1.122,144.8805332183838
192.168.1.122,93.80149841308594
192.168.1.122,118.64733695983887
192.168.1.122,88.04011344909668
192.168.1.122,4.203319549560547
192.168.1.122,8.073806762695312
192.168.1.122,38.24138641357422
192.168.1.122,8.592844009399414
192.168.1.122,8.25047492980957
192.168.1.122,37.35017776489258
192.168.1.122,125.26535987854004
192.168.1.122,12.998104095458984
192.168.1.122,11.120796203613281
192.168.1.122,3.787517547607422
192.168.1.122,11.29007339477539
192.168.1.122,25.794506072998047
192.168.1.122,18.32747459411621
192.168.1.122,8.127927780151367
192.168.1.122,25.25186538696289
192.168.1.122,4.130840301513672
192.168.1.122,53.34138870239258
192.168.1.122,16.781330108642578
192.168.1.122,2.3314952850341797
192.168.1.122,3.1347274780273438
192.168.1.122,5.277156829833984
192.168.1.122,9.977579116821289
192.168.1.122,5.394935607910156
192.168.1.122,12.619495391845703
192.168.1.122,55.18984794616699
192.168.1.122,9.027481079101562
192.168.1.122,15.423297882080078
192.168.1.122,12.251138687133789
192.168.1.122,42.247772216796875
192.168.1.122,10.962724685668945
192.168.1.122,17.54283905029297
192.168.1.122,32.8981876373291
192.168.1.122,2.8944015502929688
192.168.1.122,1.7321109771728516
