IP,DBM,RSSI
192.168.1.121,-82,11
192.168.1.122,-48,45
192.168.1.121,-82,11
192.168.1.122,-48,45
192.168.1.121,-82,11
192.168.1.122,-48,45
192.168.1.121,-82,11
192.168.1.122,-48,45
192.168.1.121,-82,11
192.168.1.122,-48,45
192.168.1.121,-82,11
192.168.1.122,-48,45
192.168.1.121,-82,11
192.168.1.122,-48,45
192.168.1.121,-82,11
192.168.1.122,-48,45
192.168.1.121,-82,11
192.168.1.122,-48,45
192.168.1.121,-82,11
192.168.1.122,-48,45
192.168.1.121,-82,11
192.168.1.122,-48,45
192.168.1.121,-82,11
192.168.1.122,-48,45
192.168.1.121,-82,11
192.168.1.122,-48,45
192.168.1.121,-82,11
192.168.1.122,-48,45
192.168.1.121,-82,11
192.168.1.122,-48,45
192.168.1.121,-82,11
192.168.1.122,-48,45
192.168.1.121,-82,11
192.168.1.122,-48,45
192.168.1.121,-82,11
192.168.1.122,-48,45
192.168.1.121,-82,11
192.168.1.122,-48,45
192.168.1.121,-82,11
192.168.1.122,-48,45
192.168.1.121,-82,11
192.168.1.122,-48,45
192.168.1.121,-82,11
192.168.1.122,-48,45
192.168.1.121,-82,11
192.168.1.122,-48,45
192.168.1.121,-82,11
192.168.1.122,-48,45
192.168.1.121,-82,11
192.168.1.122,-48,45
192.168.1.121,-82,11
192.168.1.122,-48,45
192.168.1.121,-82,11
192.168.1.122,-48,45
192.168.1.121,-82,11
192.168.1.122,-48,45
192.168.1.121,-82,11
192.168.1.122,-48,45
192.168.1.121,-82,11
192.168.1.122,-48,45
192.168.1.121,-82,11
192.168.1.122,-48,45
192.168.1.121,-82,11
192.168.1.122,-48,45
192.168.1.121,-84,9
192.168.1.122,-66,27
192.168.1.121,-84,9
192.168.1.122,-66,27
192.168.1.121,-84,9
192.168.1.122,-66,27
192.168.1.121,-84,9
192.168.1.122,-66,27
192.168.1.121,-84,9
192.168.1.122,-66,27
192.168.1.121,-84,9
192.168.1.122,-66,27
192.168.1.121,-84,9
192.168.1.122,-66,27
192.168.1.121,-84,9
192.168.1.122,-66,27
192.168.1.121,-84,9
192.168.1.122,-66,27
192.168.1.121,-84,9
192.168.1.122,-66,27
192.168.1.121,-84,9
192.168.1.122,-66,27
192.168.1.121,-84,9
192.168.1.122,-66,27
192.168.1.121,-84,9
192.168.1.122,-66,27
192.168.1.121,-84,9
192.168.1.122,-66,27
192.168.1.121,-84,9
192.168.1.122,-66,27
192.168.1.121,-84,9
192.168.1.122,-66,27
192.168.1.121,-84,9
192.168.1.122,-66,27
192.168.1.121,-84,9
192.168.1.122,-66,27
192.168.1.121,-84,9
192.168.1.122,-66,27
192.168.1.121,-84,9
192.168.1.122,-66,27
192.168.1.121,-84,9
192.168.1.122,-66,27
192.168.1.121,-85,8
192.168.1.122,-63,30
192.168.1.121,-85,8
192.168.1.122,-63,30
192.168.1.121,-85,8
192.168.1.122,-63,30
192.168.1.121,-85,8
192.168.1.122,-63,30
192.168.1.121,-85,8
192.168.1.122,-63,30
192.168.1.121,-85,8
192.168.1.122,-63,30
192.168.1.121,-85,8
192.168.1.122,-63,30
192.168.1.121,-85,8
192.168.1.122,-63,30
192.168.1.121,-85,8
192.168.1.122,-63,30
192.168.1.121,-85,8
192.168.1.122,-63,30
192.168.1.121,-85,8
192.168.1.122,-63,30
192.168.1.121,-85,8
192.168.1.122,-63,30
192.168.1.121,-85,8
192.168.1.122,-63,30
192.168.1.121,-85,8
192.168.1.122,-63,30
192.168.1.121,-85,8
192.168.1.122,-63,30
192.168.1.121,-85,8
192.168.1.122,-63,30
192.168.1.121,-85,8
192.168.1.122,-63,30
192.168.1.121,-85,8
192.168.1.122,-63,30
192.168.1.121,-85,8
192.168.1.122,-63,30
192.168.1.121,-85,8
192.168.1.122,-63,30
192.168.1.121,-85,8
192.168.1.122,-63,30
192.168.1.121,-86,8
192.168.1.122,-55,39
192.168.1.121,-86,8
192.168.1.122,-55,39
192.168.1.121,-86,8
192.168.1.122,-55,39
192.168.1.121,-86,8
192.168.1.122,-55,39
192.168.1.121,-86,8
192.168.1.122,-55,39
192.168.1.121,-86,8
192.168.1.122,-55,39
192.168.1.121,-86,8
192.168.1.122,-55,39
192.168.1.121,-86,8
192.168.1.122,-55,39
192.168.1.121,-86,8
192.168.1.122,-55,39
192.168.1.121,-86,8
192.168.1.122,-55,39
192.168.1.121,-86,8
192.168.1.122,-55,39
192.168.1.121,-86,8
192.168.1.122,-55,39
192.168.1.121,-86,8
192.168.1.122,-55,39
192.168.1.121,-86,8
192.168.1.122,-55,39
192.168.1.121,-86,8
192.168.1.122,-55,39
192.168.1.121,-86,8
192.168.1.122,-55,39
192.168.1.121,-86,8
192.168.1.122,-55,39
192.168.1.121,-86,8
192.168.1.122,-56,38
192.168.1.121,-86,8
192.168.1.122,-56,38
192.168.1.121,-86,8
192.168.1.122,-56,38
192.168.1.121,-86,8
192.168.1.122,-56,38
192.168.1.121,-86,8
192.168.1.122,-56,38
192.168.1.121,-86,8
192.168.1.122,-56,38
192.168.1.121,-86,8
192.168.1.122,-56,38
192.168.1.121,-86,8
192.168.1.122,-56,38
192.168.1.121,-86,8
192.168.1.122,-56,38
